name,surname,name_generic
Alexander ,Alexander ,0
Wayne,Wayne,0
Aadil,Aadil,0
Abiodun,Abiodun,0
Abongile,Abongile,0
Aboo,Aboo,0
Abraham,Abraham,0
Abram,Abram,0
Abri,Abri,0
Abrie,Abrie,0
Abs,Abs,0
Absalom,Absalom,0
Absolom,Absolom,0
Abu Baker,Abu Baker,0
Abubaker,Abubaker,0
Abuja,Abuja,0
Achan,Achan,0
Achmat,Achmat,0
Acquim,Acquim,0
AD,AD,0
Adèl,Adèl,0
Adaan,Adaan,0
Adam,Adam,0
Adao,Adao,0
Adaobi,Adaobi,0
Adebayo,Adebayo,0
Adebisi,Adebisi,0
Adeboye,Adeboye,0
Adedamola,Adedamola,0
Adejoke,Adejoke,0
Adelaide,Adelaide,0
Adele,Adele,0
Ademola,Ademola,0
Adeoye,Adeoye,0
Adesh,Adesh,0
Adesola,Adesola,0
Adetayo,Adetayo,0
Adewale,Adewale,0
Adhil,Adhil,0
Adhir,Adhir,0
Adi,Adi,0
Adiel,Adiel,0
Adil,Adil,0
Adnaan,Adnaan,0
Adnan,Adnan,0
Adolf,Adolf,0
Adolph,Adolph,0
Adonis,Adonis,0
Adre,Adre,0
Adri,Adri,0
Adriaan,Adriaan,0
Adrian,Adrian,0
Adrienne,Adrienne,0
Advice,Advice,0
AE Abu Dhabi,AE Abu Dhabi,0
Aerol,Aerol,0
Aeysha,Aeysha,0
Afiefah,Afiefah,0
Afieya,Afieya,0
Afika,Afika,0
Afis,Afis,0
Afzal,Afzal,0
Agashan,Agashan,0
Agatha,Agatha,0
Aggrey,Aggrey,0
Agile,Agile,0
Agnes,Agnes,0
Agnesia,Agnesia,0
Agobakwe,Agobakwe,0
Agrippa,Agrippa,0
Ahkin,Ahkin,0
Ahmad,Ahmad,0
Ahmed,Ahmed,0
Aiden,Aiden,0
Aifheli,Aifheli,0
Ainsley,Ainsley,0
Aisha,Aisha,0
Aitken,Aitken,0
AJ,AJ,0
Ajay,Ajay,0
Akbar,Akbar,0
Akeel,Akeel,0
Akeem,Akeem,0
Akhe,Akhe,0
Akheel-Koin,Akheel-Koin,0
Akhona,Akhona,0
Akhonke,Akhonke,0
Akil,Akil,0
Akinjide,Akinjide,0
Akona,Akona,0
Al,Al,0
Alain,Alain,0
Alainah,Alainah,0
Alan,Alan,0
Alandile,Alandile,0
Alanna,Alanna,0
Alannah,Alannah,0
Alaric,Alaric,0
Albe,Albe,0
Albert,Albert,0
Alberto,Alberto,0
Albertu,Albertu,0
Albertus,Albertus,0
Albi,Albi,0
Albi van Zyl,Albi van Zyl,0
Albino,Albino,0
Alcody,Alcody,0
Aldridge,Aldridge,0
Aldus,Aldus,0
Alec,Alec,0
Alecia,Alecia,0
Alejandra,Alejandra,0
Alert,Alert,0
Aleseng,Aleseng,0
Alesh,Alesh,0
Aleshan,Aleshan,0
Alessia,Alessia,0
Alet,Alet,0
Alethea,Alethea,0
Aletta,Aletta,0
Alettah,Alettah,0
Alette,Alette,0
Alewyn,Alewyn,0
Alex,Alex,0
Alexander,Alexander,0
Alexia,Alexia,0
Alexis,Alexis,0
Alfonzo,Alfonzo,0
Alfred,Alfred,0
Alfredo,Alfredo,0
Algar,Algar,0
Ali,Ali,0
Alice,Alice,0
Alichia,Alichia,0
Alicia,Alicia,0
Aliese,Aliese,0
Alina,Alina,0
AlinaNkomo,AlinaNkomo,0
Alisha,Alisha,0
Alison,Alison,0
Alistair,Alistair,0
Alistar,Alistar,0
Alister,Alister,0
Alix,Alix,0
Aliza,Aliza,0
Alka,Alka,0
Allan,Allan,0
Allarece,Allarece,0
AllConnect,AllConnect,1
Allen,Allen,0
AllenCarr,AllenCarr,0
Alli,Alli,0
Allie,Allie,0
Allison,Allison,0
Allister,Allister,0
Almar,Almar,0
Almarie,Almarie,0
Alotaibi,Alotaibi,0
Aloyisa,Aloyisa,0
Aloysia,Aloysia,0
Alozie,Alozie,0
Alpesh,Alpesh,0
Alpha,Alpha,0
Alpheus,Alpheus,0
Alrick,Alrick,0
Alta,Alta,0
Althea,Althea,0
Altus,Altus,0
Aluncedo,Aluncedo,0
Alvin,Alvin,0
Alvira,Alvira,0
Alvira Leone,Alvira Leone,0
Alvona,Alvona,0
Alwin,Alwin,0
Alwyn,Alwyn,0
Alyssa,Alyssa,0
Amaka,Amaka,0
Amal,Amal,0
Aman,Aman,0
Amanda,Amanda,0
Amar,Amar,0
Amarendra,Amarendra,0
Amber,Amber,0
Ambesa,Ambesa,0
Ambrose,Ambrose,0
Ameer,Ameer,0
Ameera,Ameera,0
Ameet,Ameet,0
Amelia,Amelia,0
Americo,Americo,0
Amesh,Amesh,0
Amien,Amien,0
Amiena,Amiena,0
Amina,Amina,0
Amit,Amit,0
Amo,Amo,0
Amohelang,Amohelang,0
Amor,Amor,0
Amore,Amore,0
Amos,Amos,0
Amrish,Amrish,0
Amritashan,Amritashan,0
Amy,Amy,0
Ana,Ana,0
Anael,Anael,0
Anand,Anand,0
Ananda,Ananda,0
Ananzi,Ananzi,0
Anas,Anas,0
Anash,Anash,0
Anastasia,Anastasia,0
Anathi,Anathi,0
Anatoli,Anatoli,0
Anban,Anban,0
Anbu,Anbu,0
Anda,Anda,0
Ande,Ande,0
Anders,Anders,0
Anderson,Anderson,0
Andi,Andi,0
Andile,Andile,0
Andisa,Andisa,0
Andisiwe,Andisiwe,0
Andiswa,Andiswa,0
Andras,Andras,0
Andre,Andre,0
Andrea,Andrea,0
Andreas,Andreas,0
Andreia,Andreia,0
